# WARP endpoints: 2868 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
8.39.125.179:500       36ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.114:2408      31ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.193:2408       30ms          33ms      0%     RU         HEL    Helsinki, FI
8.47.69.130:2408       30ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.197:2408       35ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.189:2408   36ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.74:2408    33ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.203:2408       34ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.225:2408      31ms          33ms      0%     RU         HEL    Helsinki, FI
8.47.69.83:2408        36ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.173:2408      33ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.194:2408       44ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.214.2:2408        31ms          33ms      0%     RU         HEL    Helsinki, FI
162.159.192.191:2408   32ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.8:500         34ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.97:2408        35ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.7:2408        33ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.41:2408       37ms          33ms      0%     RU         HEL    Helsinki, FI
8.35.211.201:2408      28ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.3:500         36ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.186:2408       38ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.204.174:2408      32ms          33ms      0%     RU         HEL    Helsinki, FI
